iter	Passed	Remaining
0	33	33041
1	40	20095
2	43	14572
3	47	11744
4	56	11245
5	62	10299
6	71	10093
7	75	9392
8	78	8604
9	90	8928
10	106	9614
11	111	9221
12	114	8723
13	117	8261
14	125	8246
15	132	8121
16	133	7746
17	149	8141
18	157	8149
19	165	8126
20	183	8574
21	186	8302
22	189	8039
23	198	8085
24	203	7921
25	218	8168
26	222	8006
27	225	7814
28	230	7710
29	239	7737
30	241	7542
31	247	7500
32	253	7416
33	287	8173
34	299	8251
35	301	8067
36	303	7895
37	312	7916
38	316	7808
39	326	7828
40	328	7683
41	330	7534
42	332	7395
43	344	7477
44	348	7386
45	349	7257
46	360	7314
47	363	7203
48	365	7091
49	373	7099
50	375	6994
51	379	6916
52	383	6849
53	385	6747
54	387	6663
55	396	6678
56	398	6589
57	402	6537
58	410	6553
59	414	6501
60	434	6690
61	442	6702
62	452	6726
63	458	6703
64	471	6784
65	474	6712
66	476	6640
67	478	6561
68	480	6484
69	483	6425
70	485	6351
71	487	6283
72	521	6620
73	526	6585
74	528	6515
75	539	6554
76	542	6497
77	556	6574
78	563	6565
79	573	6592
80	578	6560
81	581	6512
82	582	6438
83	585	6386
84	592	6374
85	595	6328
86	600	6304
87	604	6260
88	614	6289
89	617	6247
90	623	6225
91	626	6186
92	634	6185
93	637	6149
94	643	6133
95	647	6100
96	661	6158
97	671	6183
98	674	6134
99	744	6704
100	760	6766
101	769	6770
102	802	6985
103	806	6947
104	809	6899
105	818	6899
106	820	6845
107	825	6815
108	835	6832
109	837	6778
110	840	6729
111	850	6743
112	854	6706
113	864	6718
114	867	6677
115	873	6653
116	876	6611
117	879	6574
118	882	6535
119	887	6510
120	894	6495
121	898	6464
122	901	6427
123	904	6388
124	910	6373
125	913	6337
126	922	6339
127	929	6333
128	938	6337
129	942	6307
130	954	6328
131	956	6289
132	959	6257
133	973	6294
134	987	6325
135	999	6352
136	1003	6318
137	1012	6324
138	1014	6286
139	1018	6256
140	1021	6223
141	1023	6186
142	1025	6148
143	1028	6114
144	1030	6077
145	1044	6108
146	1046	6071
147	1049	6039
148	1058	6042
149	1060	6006
150	1063	5977
151	1071	5978
152	1073	5944
153	1075	5908
154	1078	5882
155	1085	5873
156	1091	5859
157	1107	5899
158	1110	5875
159	1120	5880
160	1122	5850
161	1125	5822
162	1138	5846
163	1140	5813
164	1143	5785
165	1157	5816
166	1170	5837
167	1174	5815
168	1181	5811
169	1185	5789
170	1188	5762
171	1196	5762
172	1198	5731
173	1201	5701
174	1204	5677
175	1211	5670
176	1213	5640
177	1214	5610
178	1217	5582
179	1226	5585
180	1230	5567
181	1232	5539
182	1235	5516
183	1239	5496
184	1243	5475
185	1258	5507
186	1276	5549
187	1281	5534
188	1285	5515
189	1294	5520
190	1297	5494
191	1299	5468
192	1307	5468
193	1311	5446
194	1324	5468
195	1327	5446
196	1331	5426
197	1337	5416
198	1342	5402
199	1344	5376
200	1356	5390
201	1360	5374
202	1362	5349
203	1374	5361
204	1378	5344
205	1392	5368
206	1406	5388
207	1408	5364
208	1411	5342
209	1421	5347
210	1425	5330
211	1435	5336
212	1437	5313
213	1440	5289
214	1443	5271
215	1452	5270
216	1459	5265
217	1467	5264
218	1470	5244
219	1486	5272
220	1490	5252
221	1505	5275
222	1525	5315
223	1537	5326
224	1542	5314
225	1556	5330
226	1563	5325
227	1567	5305
228	1569	5284
229	1580	5292
230	1587	5285
231	1593	5274
232	1603	5277
233	1621	5309
234	1652	5380
235	1655	5359
236	1663	5355
237	1666	5334
238	1670	5317
239	1679	5317
240	1682	5298
241	1686	5282
242	1694	5278
243	1698	5261
244	1700	5241
245	1709	5238
246	1712	5220
247	1714	5198
248	1731	5221
249	1734	5204
250	1746	5211
251	1748	5190
252	1758	5191
253	1763	5178
254	1780	5201
255	1784	5187
256	1797	5197
257	1802	5183
258	1804	5162
259	1807	5145
260	1815	5140
261	1818	5122
262	1820	5102
263	1822	5082
264	1835	5090
265	1838	5071
266	1840	5052
267	1848	5048
268	1851	5030
269	1853	5010
270	1855	4990
271	1858	4975
272	1873	4989
273	1876	4971
274	1878	4951
275	1880	4931
276	1883	4915
277	1884	4895
278	1887	4877
279	1892	4865
280	1894	4846
281	1896	4827
282	1929	4887
283	1949	4916
284	1963	4926
285	1975	4931
286	1990	4945
287	1997	4938
288	2008	4942
289	2011	4923
290	2013	4905
291	2081	5045
292	2100	5069
293	2105	5055
294	2112	5049
295	2118	5039
296	2124	5028
297	2130	5017
298	2133	5002
299	2139	4991
300	2146	4984
301	2162	4997
302	2166	4982
303	2168	4964
304	2171	4948
305	2176	4936
306	2182	4927
307	2186	4913
308	2194	4906
309	2196	4889
310	2199	4872
311	2201	4855
312	2204	4838
313	2262	4941
314	2267	4930
315	2269	4913
316	2279	4911
317	2297	4927
318	2341	4997
319	2346	4987
320	2396	5069
321	2407	5068
322	2413	5058
323	2421	5051
324	2433	5054
325	2439	5043
326	2457	5058
327	2461	5044
328	2470	5038
329	2476	5027
330	2490	5033
331	2506	5043
332	2510	5028
333	2523	5031
334	2551	5064
335	2556	5052
336	2564	5045
337	2583	5060
338	2588	5048
339	2617	5081
340	2622	5067
341	2665	5129
342	2675	5124
343	2696	5141
344	2723	5170
345	2752	5202
346	2757	5189
347	2790	5227
348	2816	5252
349	2840	5276
350	2864	5296
351	2870	5284
352	2875	5271
353	2898	5289
354	2911	5289
355	2923	5287
356	2927	5273
357	2945	5282
358	2977	5316
359	3038	5401
360	3045	5390
361	3059	5391
362	3095	5432
363	3127	5465
364	3144	5470
365	3180	5509
366	3197	5514
367	3209	5511
368	3211	5491
369	3218	5480
370	3221	5461
371	3235	5462
372	3237	5442
373	3245	5433
374	3254	5424
375	3257	5405
376	3265	5395
377	3301	5433
378	3305	5416
379	3318	5414
380	3355	5450
381	3381	5470
382	3431	5528
383	3438	5516
384	3448	5508
385	3451	5490
386	3461	5483
387	3515	5544
388	3520	5529
389	3541	5538
390	3554	5536
391	3559	5521
392	3571	5516
393	3603	5543
394	3624	5551
395	3635	5545
396	3640	5528
397	3651	5523
398	3689	5557
399	3707	5561
400	3736	5580
401	3750	5579
402	3753	5561
403	3783	5581
404	3797	5578
405	3802	5562
406	3814	5558
407	3819	5542
408	3832	5537
409	3850	5540
410	3899	5587
411	3911	5582
412	3914	5563
413	3920	5549
414	3925	5533
415	3928	5514
416	3932	5498
417	3944	5491
418	3947	5474
419	3959	5467
420	3964	5452
421	3972	5441
422	3976	5424
423	3988	5417
424	3992	5402
425	3995	5383
426	4004	5373
427	4007	5355
428	4011	5339
429	4021	5331
430	4023	5312
431	4027	5294
432	4035	5284
433	4038	5266
434	4040	5248
435	4043	5230
436	4054	5223
437	4057	5206
438	4066	5197
439	4070	5180
440	4075	5166
441	4088	5161
442	4091	5144
443	4100	5135
444	4105	5120
445	4114	5111
446	4120	5097
447	4132	5091
448	4136	5076
449	4151	5074
450	4157	5060
451	4166	5051
452	4204	5077
453	4216	5071
454	4234	5072
455	4245	5065
456	4248	5047
457	4250	5030
458	4257	5017
459	4259	4999
460	4278	5002
461	4281	4986
462	4284	4969
463	4290	4956
464	4297	4944
465	4302	4929
466	4305	4913
467	4317	4908
468	4322	4893
469	4332	4885
470	4334	4868
471	4338	4853
472	4341	4837
473	4346	4823
474	4349	4806
475	4357	4796
476	4360	4781
477	4379	4782
478	4387	4772
479	4398	4765
480	4402	4750
481	4407	4737
482	4415	4726
483	4427	4719
484	4438	4713
485	4442	4698
486	4455	4693
487	4460	4680
488	4468	4669
489	4476	4659
490	4478	4643
491	4488	4634
492	4508	4636
493	4517	4627
494	4520	4611
495	4523	4596
496	4526	4581
497	4533	4570
498	4555	4573
499	4558	4558
500	4569	4550
501	4574	4538
502	4582	4528
503	4585	4512
504	4587	4496
505	4590	4481
506	4604	4477
507	4614	4468
508	4617	4454
509	4619	4438
510	4628	4429
511	4631	4414
512	4634	4399
513	4644	4391
514	4648	4377
515	4651	4363
516	4661	4354
517	4663	4339
518	4665	4324
519	4668	4309
520	4671	4294
521	4674	4280
522	4677	4265
523	4688	4259
524	4691	4244
525	4700	4235
526	4704	4222
527	4707	4208
528	4715	4198
529	4718	4184
530	4722	4171
531	4732	4162
532	4734	4147
533	4736	4133
534	4738	4118
535	4749	4111
536	4751	4096
537	4753	4082
538	4755	4067
539	4765	4059
540	4768	4045
541	4770	4031
542	4779	4022
543	4781	4008
544	4792	4000
545	4798	3990
546	4801	3976
547	4803	3962
548	4823	3962
549	4825	3948
550	4828	3934
551	4830	3920
552	4838	3910
553	4840	3896
554	4842	3882
555	4844	3868
556	4855	3861
557	4859	3848
558	4871	3843
559	4873	3829
560	4875	3815
561	4883	3806
562	4887	3793
563	4890	3780
564	4899	3772
565	4901	3758
566	4905	3745
567	4906	3732
568	4916	3724
569	4918	3710
570	4921	3697
571	4927	3687
572	4930	3673
573	4933	3661
574	4935	3647
575	4937	3634
576	4945	3625
577	4947	3612
578	4949	3599
579	4952	3586
580	4958	3575
581	4962	3563
582	4964	3550
583	4966	3537
584	4968	3524
585	4973	3513
586	4976	3501
587	4979	3489
588	4981	3476
589	4984	3463
590	4992	3455
591	4994	3442
592	4997	3430
593	5006	3421
594	5009	3409
595	5011	3397
596	5013	3384
597	5020	3374
598	5022	3362
599	5026	3350
600	5029	3339
601	5038	3331
602	5040	3318
603	5042	3306
604	5045	3294
605	5051	3284
606	5053	3271
607	5064	3265
608	5066	3253
609	5068	3240
610	5071	3228
611	5080	3220
612	5082	3208
613	5085	3196
614	5091	3187
615	5094	3175
616	5096	3163
617	5098	3151
618	5106	3143
619	5111	3132
620	5114	3121
621	5116	3109
622	5124	3100
623	5126	3089
624	5130	3078
625	5133	3066
626	5143	3059
627	5146	3048
628	5153	3039
629	5155	3027
630	5158	3016
631	5160	3004
632	5163	2993
633	5172	2985
634	5174	2974
635	5176	2962
636	5179	2951
637	5190	2944
638	5192	2933
639	5200	2925
640	5204	2914
641	5206	2903
642	5208	2891
643	5210	2880
644	5218	2872
645	5220	2860
646	5222	2849
647	5224	2838
648	5231	2829
649	5234	2818
650	5236	2807
651	5238	2795
652	5241	2785
653	5248	2776
654	5251	2766
655	5253	2755
656	5255	2743
657	5263	2735
658	5266	2724
659	5268	2713
660	5270	2703
661	5277	2694
662	5279	2683
663	5281	2672
664	5283	2661
665	5291	2653
666	5293	2642
667	5295	2632
668	5298	2621
669	5300	2610
670	5309	2603
671	5311	2592
672	5315	2582
673	5321	2573
674	5324	2563
675	5326	2552
676	5328	2542
677	5330	2531
678	5336	2522
679	5338	2512
680	5341	2501
681	5343	2491
682	5345	2480
683	5352	2472
684	5355	2462
685	5357	2452
686	5360	2442
687	5369	2435
688	5371	2424
689	5373	2414
690	5375	2404
691	5381	2395
692	5384	2385
693	5386	2375
694	5388	2364
695	5390	2354
696	5392	2344
697	5395	2334
698	5397	2324
699	5399	2314
700	5401	2303
701	5410	2296
702	5412	2286
703	5414	2276
704	5416	2266
705	5421	2257
706	5424	2247
707	5426	2238
708	5428	2228
709	5431	2218
710	5433	2208
711	5435	2198
712	5437	2188
713	5440	2179
714	5442	2169
715	5451	2162
716	5453	2152
717	5455	2142
718	5458	2133
719	5465	2125
720	5468	2115
721	5470	2106
722	5472	2096
723	5480	2089
724	5482	2079
725	5484	2070
726	5487	2060
727	5492	2052
728	5495	2043
729	5498	2033
730	5500	2024
731	5503	2014
732	5508	2006
733	5510	1996
734	5512	1987
735	5515	1978
736	5517	1969
737	5526	1962
738	5528	1952
739	5530	1943
740	5534	1934
741	5541	1926
742	5543	1917
743	5545	1908
744	5548	1899
745	5555	1891
746	5557	1882
747	5561	1873
748	5563	1864
749	5570	1856
750	5573	1847
751	5576	1838
752	5578	1829
753	5580	1820
754	5590	1814
755	5592	1805
756	5594	1795
757	5599	1787
758	5601	1778
759	5604	1769
760	5607	1761
761	5609	1752
762	5618	1745
763	5620	1736
764	5622	1727
765	5626	1718
766	5634	1711
767	5636	1702
768	5638	1693
769	5641	1685
770	5647	1677
771	5649	1668
772	5652	1659
773	5654	1650
774	5656	1642
775	5666	1635
776	5668	1626
777	5671	1618
778	5673	1609
779	5682	1602
780	5685	1594
781	5689	1585
782	5694	1578
783	5696	1569
784	5699	1560
785	5701	1552
786	5703	1543
787	5711	1536
788	5713	1528
789	5715	1519
790	5718	1511
791	5725	1503
792	5727	1495
793	5729	1486
794	5731	1477
795	5734	1469
796	5741	1462
797	5743	1453
798	5746	1445
799	5748	1437
800	5750	1428
801	5758	1421
802	5760	1413
803	5761	1404
804	5764	1396
805	5770	1388
806	5773	1380
807	5775	1372
808	5777	1364
809	5780	1355
810	5786	1348
811	5788	1340
812	5791	1332
813	5793	1323
814	5795	1315
815	5803	1308
816	5806	1300
817	5809	1292
818	5811	1284
819	5818	1277
820	5821	1269
821	5823	1261
822	5827	1253
823	5830	1245
824	5835	1237
825	5837	1229
826	5847	1223
827	5849	1215
828	5853	1207
829	5855	1199
830	5862	1192
831	5865	1184
832	5867	1176
833	5868	1168
834	5870	1160
835	5879	1153
836	5882	1145
837	5885	1137
838	5893	1130
839	5895	1122
840	5897	1114
841	5900	1107
842	5908	1100
843	5910	1092
844	5912	1084
845	5914	1076
846	5917	1068
847	5920	1061
848	5923	1053
849	5925	1045
850	5928	1037
851	5935	1031
852	5937	1023
853	5939	1015
854	5942	1007
855	5944	1000
856	5951	993
857	5953	985
858	5955	977
859	5957	969
860	5959	962
861	5962	954
862	5964	946
863	5967	939
864	5970	931
865	5972	924
866	5981	917
867	5983	909
868	5986	902
869	5991	895
870	5995	887
871	5997	880
872	5999	872
873	6002	865
874	6007	858
875	6010	850
876	6013	843
877	6015	835
878	6018	828
879	6028	822
880	6031	814
881	6033	807
882	6042	800
883	6044	793
884	6046	785
885	6048	778
886	6056	771
887	6058	764
888	6060	756
889	6062	749
890	6064	741
891	6072	735
892	6074	727
893	6076	720
894	6079	713
895	6087	706
896	6089	699
897	6091	691
898	6093	684
899	6095	677
900	6103	670
901	6105	663
902	6107	656
903	6109	648
904	6117	642
905	6120	634
906	6122	627
907	6124	620
908	6131	613
909	6136	606
910	6138	599
911	6141	592
912	6147	585
913	6149	578
914	6151	571
915	6153	564
916	6156	557
917	6164	550
918	6166	543
919	6168	536
920	6172	529
921	6178	522
922	6180	515
923	6182	508
924	6185	501
925	6187	494
926	6195	487
927	6198	480
928	6201	473
929	6203	466
930	6211	460
931	6214	453
932	6217	446
933	6222	439
934	6228	432
935	6231	426
936	6235	419
937	6237	412
938	6239	405
939	6243	398
940	6245	391
941	6247	384
942	6250	377
943	6252	370
944	6256	364
945	6262	357
946	6266	350
947	6268	343
948	6270	336
949	6272	330
950	6279	323
951	6281	316
952	6283	309
953	6285	303
954	6288	296
955	6297	289
956	6299	283
957	6301	276
958	6303	269
959	6311	262
960	6313	256
961	6315	249
962	6317	242
963	6319	236
964	6322	229
965	6324	222
966	6326	215
967	6328	209
968	6330	202
969	6333	195
970	6335	189
971	6338	182
972	6340	175
973	6346	169
974	6348	162
975	6350	156
976	6352	149
977	6358	143
978	6360	136
979	6362	129
980	6364	123
981	6367	116
982	6377	110
983	6380	103
984	6383	97
985	6389	90
986	6393	84
987	6395	77
988	6399	71
989	6401	64
990	6403	58
991	6406	51
992	6408	45
993	6410	38
994	6418	32
995	6420	25
996	6422	19
997	6425	12
998	6431	6
999	6433	0
